Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3",0402,2,C_0402_1005Metric,C2991468
"C1A, C2A, C3A",0402,3,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C2991386
CR,0201,1,120,
CRYSTAL,Crystal_SMD_2012-2Pin_2.0x1.2mm,1,Crystal_SMD_2012-2Pin_2.0x1.2mm,
IC1,16LCSP,1,ADXL33X,
JST,JST_ACH_BM04B-ACHSS-A-GAN-ETF_1x04-1MP_P1.20mm_Vertical,1,JST_ACH_BM04B-ACHSS-A-GAN-ETF_1x04-1MP_P1.20mm_Vertical,C160404
"LED1, LED2, LED3",1206,3,LED_1206_3216Metric,C160404
PROG,PinHeader_1x04_P1.00mm_Vertical,1,PinHeader_1x04_P1.00mm_Vertical,
"R1, R10, R11, R12, R2, R3, R4, R5, R6, R7",0201,10,R_0201_0603Metric,C2129186
U1,SOT-353_SC-70-5,1,MCP9700Ax-ELT,C97546
U2,DFN-8-1EP_3x3mm_P0.65mm_EP1.55x2.4mm,1,MCP2562-E-MF,C635955
U3,VQFN-20-1EP_3x3mm_P0.4mm_EP1.7x1.7mm,1,ATtiny1616-M,C507118
U5,SSOP-24_5.3x8.2mm_P0.65mm,1,CD74HC4067SM,C98457
U6,TSSOP-20_4.4x6.5mm_P0.65mm,1,MCP2515-xST,C15193
"U7, U8",SOT-23,2,DRV5055A1xDBZxQ1,C962987
