Designator,Mid X,Mid Y,Rotation,Layer
C1,176.16,-102.8525,90.0,top
C1A,178.585,-94.9275,0.0,top
C2A,178.6025,-95.9275,0.0,top
C3,176.735,-79.1275,90.0,top
C3A,178.6025,-97.0525,0.0,top
CR,185.16,-87.1775,90.0,top
CRYSTAL,164.96,-77.2275,90.0,top
IC1,184.3475,-93.9525,270.0,top
JST,162.588044,-85.726074,240.0,top
LED1,180.935,-102.639936,60.0,top
LED2,156.185,-94.2525,300.0,top
LED3,176.71,-76.8775,180.0,top
PROG,167.21,-90.6775,0.0,top
R1,161.735,-80.5025,0.0,top
R10,155.76,-77.7025,0.0,top
R11,195.18,-77.5525,0.0,top
R12,165.93,-109.5025,0.0,top
R2,179.305,-91.4275,0.0,top
R3,179.13,-92.7775,0.0,top
R4,165.06,-105.9775,0.0,top
R5,159.605,-93.7775,0.0,top
R6,170.535,-87.1775,0.0,top
R7,180.665,-99.6275,0.0,top
U1,182.16,-89.2275,180.0,top
U2,182.3975,-85.6525,270.0,top
U3,177.57,-87.7825,0.0,top
U5,170.985,-99.1275,0.0,top
U6,170.5475,-80.0525,270.0,top
U7,162.41,-95.5025,270.0,top
U8,176.8475,-105.6275,180.0,top
