Designator,Footprint,Quantity,Value,LCSC Part #,
"C1, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C2, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C3, C30, C31, C32, C33, C34, C4, C5, C6, C7, C8, C9",0402,34,C_0402_1005Metric,C2991468,
"C1A, C1A1, C1A10, C1A11, C1A12, C1A13, C1A14, C1A15, C1A16, C1A2, C1A3, C1A4, C1A5, C1A6, C1A7, C1A8, C1A9, C2A, C2A1, C2A10, C2A11, C2A12, C2A13, C2A14, C2A15, C2A16, C2A2, C2A3, C2A4, C2A5, C2A6, C2A7, C2A8, C2A9, C3A, C3A1, C3A10, C3A11, C3A12, C3A13, C3A14, C3A15, C3A16, C3A2, C3A3, C3A4, C3A5, C3A6, C3A7, C3A8, C3A9",0402,51,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C2991386,
"CR, CR1, CR10, CR11, CR12, CR13, CR14, CR15, CR16, CR2, CR3, CR4, CR5, CR6, CR7, CR8, CR9",0201,17,120,,
"CRYSTAL, CRYSTAL1, CRYSTAL10, CRYSTAL11, CRYSTAL12, CRYSTAL13, CRYSTAL14, CRYSTAL15, CRYSTAL16, CRYSTAL2, CRYSTAL3, CRYSTAL4, CRYSTAL5, CRYSTAL6, CRYSTAL7, CRYSTAL8, CRYSTAL9",Crystal_SMD_2012-2Pin_2.0x1.2mm,17,Crystal_SMD_2012-2Pin_2.0x1.2mm,,
"IC1, IC10, IC11, IC12, IC13, IC14, IC15, IC16, IC17, IC2, IC3, IC4, IC5, IC6, IC7, IC8, IC9",16LCSP,17,ADXL33X,,
"JST, JST1, JST10, JST11, JST12, JST13, JST14, JST15, JST16, JST2, JST3, JST4, JST5, JST6, JST7, JST8, JST9",JST_ACH_BM04B-ACHSS-A-GAN-ETF_1x04-1MP_P1.20mm_Vertical,17,JST_ACH_BM04B-ACHSS-A-GAN-ETF_1x04-1MP_P1.20mm_Vertical,C160404,
"LED1, LED10, LED11, LED12, LED13, LED14, LED15, LED16, LED17, LED18, LED19, LED2, LED20, LED21, LED22, LED23, LED24, LED25, LED26, LED27, LED28, LED29, LED3, LED30, LED31, LED32, LED33, LED34, LED35, LED36, LED37, LED38, LED39, LED4, LED40, LED41, LED42, LED43, LED44, LED45, LED46, LED47, LED48, LED49, LED5, LED50, LED51, LED6, LED7, LED8, LED9",1206,51,LED_1206_3216Metric,C14641,
"PROG, PROG1, PROG10, PROG11, PROG12, PROG13, PROG14, PROG15, PROG16, PROG2, PROG3, PROG4, PROG5, PROG6, PROG7, PROG8, PROG9",PinHeader_1x04_P1.00mm_Vertical,17,PinHeader_1x04_P1.00mm_Vertical,,
"R1, R10, R100, R101, R102, R103, R104, R105, R106, R107, R108, R109, R11, R110, R111, R112, R113, R114, R115, R116, R117, R118, R119, R12, R120, R121, R122, R123, R124, R125, R126, R127, R128, R129, R13, R130, R131, R132, R133, R134, R135, R136, R137, R138, R139, R14, R140, R141, R142, R143, R144, R145, R146, R147, R148, R149, R15, R150, R151, R152, R153, R154, R155, R156, R157, R158, R159, R16, R160, R161, R162, R163, R164, R165, R166, R167, R168, R169, R17, R170, R18, R19, R2, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R3, R30, R31, R32, R33, R34, R35, R36, R37, R38, R39, R4, R40, R41, R42, R43, R44, R45, R46, R47, R48, R49, R5, R50, R51, R52, R53, R54, R55, R56, R57, R58, R59, R6, R60, R61, R62, R63, R64, R65, R66, R67, R68, R69, R7, R70, R71, R72, R73, R74, R75, R76, R77, R78, R79, R8, R80, R81, R82, R83, R84, R85, R86, R87, R88, R89, R9, R90, R91, R92, R93, R94, R95, R96, R97, R98, R99",0201,170,R_0201_0603Metric,C2129186,
"U1, U106, U113, U15, U22, U29, U32, U4, U43, U50, U57, U60, U71, U78, U85, U88, U99",SOT-353_SC-70-5,17,MCP9700Ax-ELT,C97546,
"U10, U101, U108, U115, U17, U24, U3, U31, U38, U45, U52, U59, U66, U73, U80, U87, U94",VQFN-20-1EP_3x3mm_P0.4mm_EP1.7x1.7mm,17,ATtiny1616-M,C507118,
"U100, U107, U114, U16, U2, U23, U30, U37, U44, U51, U58, U65, U72, U79, U86, U9, U93",DFN-8-1EP_3x3mm_P0.65mm_EP1.55x2.4mm,17,MCP2562-E-MF,C53609,
"U102, U109, U11, U116, U18, U25, U33, U39, U46, U5, U53, U61, U67, U74, U81, U89, U95",SSOP-24_5.3x8.2mm_P0.65mm,17,CD74HC4067SM,C98457,
"U103, U110, U117, U12, U19, U26, U34, U40, U47, U54, U6, U62, U68, U75, U82, U90, U96",TSSOP-20_4.4x6.5mm_P0.65mm,17,MCP2515-xST,C15193,
"U104, U105, U111, U112, U118, U119, U13, U14, U20, U21, U27, U28, U35, U36, U41, U42, U48, U49, U55, U56, U63, U64, U69, U7, U70, U76, U77, U8, U83, U84, U91, U92, U97, U98",SOT-23,34,DRV5055A1xDBZxQ1,C962987,
