Designator,Mid X,Mid Y,Rotation,Layer
C1,231.41,-120.585,90.0,top
C10,146.78,-72.505,90.0,top
C11,203.805,-48.59,90.0,top
C12,147.355,-48.78,90.0,top
C13,221.12,-65.275,270.0,top
C14,220.545,-89.0,270.0,top
C15,164.67,-65.465,270.0,top
C16,164.095,-89.19,270.0,top
C17,118.51,-120.965,90.0,top
C18,62.06,-121.155,90.0,top
C19,119.085,-97.24,90.0,top
C1A,233.835,-112.66,0.0,top
C1A1,177.385,-112.85,0.0,top
C1A10,133.975,-121.85,180.0,top
C1A11,77.525,-122.04,180.0,top
C1A12,92.755,-64.77,0.0,top
C1A13,36.305,-64.96,0.0,top
C1A14,105.795,-73.58,180.0,top
C1A15,49.345,-73.77,180.0,top
C1A16,21.075,-122.23,180.0,top
C1A2,246.875,-121.47,180.0,top
C1A3,190.425,-121.66,180.0,top
C1A4,205.655,-64.39,0.0,top
C1A5,149.205,-64.58,0.0,top
C1A6,218.695,-73.2,180.0,top
C1A7,162.245,-73.39,180.0,top
C1A8,120.935,-113.04,0.0,top
C1A9,64.485,-113.23,0.0,top
C2,174.96,-120.775,90.0,top
C20,62.635,-97.43,90.0,top
C21,136.4,-113.925,270.0,top
C22,135.825,-137.65,270.0,top
C23,79.95,-114.115,270.0,top
C24,79.375,-137.84,270.0,top
C25,90.33,-72.695,90.0,top
C26,33.88,-72.885,90.0,top
C27,90.905,-48.97,90.0,top
C28,34.455,-49.16,90.0,top
C29,108.22,-65.655,270.0,top
C2A,233.8525,-113.66,0.0,top
C2A1,177.4025,-113.85,0.0,top
C2A10,133.9575,-120.85,180.0,top
C2A11,77.5075,-121.04,180.0,top
C2A12,92.7725,-65.77,0.0,top
C2A13,36.3225,-65.96,0.0,top
C2A14,105.7775,-72.58,180.0,top
C2A15,49.3275,-72.77,180.0,top
C2A16,21.0575,-121.23,180.0,top
C2A2,246.8575,-120.47,180.0,top
C2A3,190.4075,-120.66,180.0,top
C2A4,205.6725,-65.39,0.0,top
C2A5,149.2225,-65.58,0.0,top
C2A6,218.6775,-72.2,180.0,top
C2A7,162.2275,-72.39,180.0,top
C2A8,120.9525,-114.04,0.0,top
C2A9,64.5025,-114.23,0.0,top
C3,231.985,-96.86,90.0,top
C30,107.645,-89.38,270.0,top
C31,51.77,-65.845,270.0,top
C32,51.195,-89.57,270.0,top
C33,23.5,-114.305,270.0,top
C34,22.925,-138.03,270.0,top
C3A,233.8525,-114.785,0.0,top
C3A1,177.4025,-114.975,0.0,top
C3A10,133.9575,-119.725,180.0,top
C3A11,77.5075,-119.915,180.0,top
C3A12,92.7725,-66.895,0.0,top
C3A13,36.3225,-67.085,0.0,top
C3A14,105.7775,-71.455,180.0,top
C3A15,49.3275,-71.645,180.0,top
C3A16,21.0575,-120.105,180.0,top
C3A2,246.8575,-119.345,180.0,top
C3A3,190.4075,-119.535,180.0,top
C3A4,205.6725,-66.515,0.0,top
C3A5,149.2225,-66.705,0.0,top
C3A6,218.6775,-71.075,180.0,top
C3A7,162.2275,-71.265,180.0,top
C3A8,120.9525,-115.165,0.0,top
C3A9,64.5025,-115.355,0.0,top
C4,175.535,-97.05,90.0,top
C5,249.3,-113.545,270.0,top
C6,248.725,-137.27,270.0,top
C7,192.85,-113.735,270.0,top
C8,192.275,-137.46,270.0,top
C9,203.23,-72.315,90.0,top
CR,240.41,-104.91,90.0,top
CR1,183.96,-105.1,90.0,top
CR10,127.4,-129.6,270.0,top
CR11,70.95,-129.79,270.0,top
CR12,99.33,-57.02,90.0,top
CR13,42.88,-57.21,90.0,top
CR14,99.22,-81.33,270.0,top
CR15,42.77,-81.52,270.0,top
CR16,14.5,-129.98,270.0,top
CR2,240.3,-129.22,270.0,top
CR3,183.85,-129.41,270.0,top
CR4,212.23,-56.64,90.0,top
CR5,155.78,-56.83,90.0,top
CR6,212.12,-80.95,270.0,top
CR7,155.67,-81.14,270.0,top
CR8,127.51,-105.29,90.0,top
CR9,71.06,-105.48,90.0,top
CRYSTAL,220.21,-94.96,90.0,top
CRYSTAL1,163.76,-95.15,90.0,top
CRYSTAL10,147.6,-139.55,270.0,top
CRYSTAL11,91.15,-139.74,270.0,top
CRYSTAL12,79.13,-47.07,90.0,top
CRYSTAL13,22.68,-47.26,90.0,top
CRYSTAL14,119.42,-91.28,270.0,top
CRYSTAL15,62.97,-91.47,270.0,top
CRYSTAL16,34.7,-139.93,270.0,top
CRYSTAL2,260.5,-139.17,270.0,top
CRYSTAL3,204.05,-139.36,270.0,top
CRYSTAL4,192.03,-46.69,90.0,top
CRYSTAL5,135.58,-46.88,90.0,top
CRYSTAL6,232.32,-90.9,270.0,top
CRYSTAL7,175.87,-91.09,270.0,top
CRYSTAL8,107.31,-95.34,90.0,top
CRYSTAL9,50.86,-95.53,90.0,top
IC1,239.5975,-111.685,270.0,top
IC10,70.2475,-112.255,270.0,top
IC11,128.2125,-122.825,90.0,top
IC12,71.7625,-123.015,90.0,top
IC13,98.5175,-63.795,270.0,top
IC14,42.0675,-63.985,270.0,top
IC15,100.0325,-74.555,90.0,top
IC16,43.5825,-74.745,90.0,top
IC17,15.3125,-123.205,90.0,top
IC2,183.1475,-111.875,270.0,top
IC3,241.1125,-122.445,90.0,top
IC4,184.6625,-122.635,90.0,top
IC5,211.4175,-63.415,270.0,top
IC6,154.9675,-63.605,270.0,top
IC7,212.9325,-74.175,90.0,top
IC8,156.4825,-74.365,90.0,top
IC9,126.6975,-112.065,270.0,top
JST,217.838044,-103.458574,240.0,top
JST1,161.388044,-103.648574,240.0,top
JST10,149.971956,-131.051426,60.0,top
JST11,93.521956,-131.241426,60.0,top
JST12,76.758044,-55.568574,240.0,top
JST13,20.308044,-55.758574,240.0,top
JST14,121.791956,-82.781426,60.0,top
JST15,65.341956,-82.971426,60.0,top
JST16,37.071956,-131.431426,60.0,top
JST2,262.871956,-130.671426,60.0,top
JST3,206.421956,-130.861426,60.0,top
JST4,189.658044,-55.188574,240.0,top
JST5,133.208044,-55.378574,240.0,top
JST6,234.691956,-82.401426,60.0,top
JST7,178.241956,-82.591426,60.0,top
JST8,104.938044,-103.838574,240.0,top
JST9,48.488044,-104.028574,240.0,top
LED1,236.185,-120.372436,60.0,top
LED10,188.075,-113.947564,240.0,top
LED11,212.825,-122.335,120.0,top
LED12,192.3,-139.71,0.0,top
LED13,208.005,-72.102436,60.0,top
LED14,183.255,-63.715,300.0,top
LED15,203.78,-46.34,180.0,top
LED16,151.555,-72.292436,60.0,top
LED17,126.805,-63.905,300.0,top
LED18,147.33,-46.53,180.0,top
LED19,216.345,-65.487564,240.0,top
LED2,211.435,-111.985,300.0,top
LED20,241.095,-73.875,120.0,top
LED21,220.57,-91.25,0.0,top
LED22,159.895,-65.677564,240.0,top
LED23,184.645,-74.065,120.0,top
LED24,164.12,-91.44,0.0,top
LED25,123.285,-120.752436,60.0,top
LED26,98.535,-112.365,300.0,top
LED27,119.06,-94.99,180.0,top
LED28,66.835,-120.942436,60.0,top
LED29,42.085,-112.555,300.0,top
LED3,231.96,-94.61,180.0,top
LED30,62.61,-95.18,180.0,top
LED31,131.625,-114.137564,240.0,top
LED32,156.375,-122.525,120.0,top
LED33,135.85,-139.9,0.0,top
LED34,75.175,-114.327564,240.0,top
LED35,99.925,-122.715,120.0,top
LED36,79.4,-140.09,0.0,top
LED37,95.105,-72.482436,60.0,top
LED38,70.355,-64.095,300.0,top
LED39,90.88,-46.72,180.0,top
LED4,179.735,-120.562436,60.0,top
LED40,38.655,-72.672436,60.0,top
LED41,13.905,-64.285,300.0,top
LED42,34.43,-46.91,180.0,top
LED43,103.445,-65.867564,240.0,top
LED44,128.195,-74.255,120.0,top
LED45,107.67,-91.63,0.0,top
LED46,46.995,-66.057564,240.0,top
LED47,71.745,-74.445,120.0,top
LED48,51.22,-91.82,0.0,top
LED49,18.725,-114.517564,240.0,top
LED5,154.985,-112.175,300.0,top
LED50,43.475,-122.905,120.0,top
LED51,22.95,-140.28,0.0,top
LED6,175.51,-94.8,180.0,top
LED7,244.525,-113.757564,240.0,top
LED8,269.275,-122.145,120.0,top
LED9,248.75,-139.52,0.0,top
PROG,222.46,-108.41,0.0,top
PROG1,166.01,-108.6,0.0,top
PROG10,145.35,-126.1,180.0,top
PROG11,88.9,-126.29,180.0,top
PROG12,81.38,-60.52,0.0,top
PROG13,24.93,-60.71,0.0,top
PROG14,117.17,-77.83,180.0,top
PROG15,60.72,-78.02,180.0,top
PROG16,32.45,-126.48,180.0,top
PROG2,258.25,-125.72,180.0,top
PROG3,201.8,-125.91,180.0,top
PROG4,194.28,-60.14,0.0,top
PROG5,137.83,-60.33,0.0,top
PROG6,230.07,-77.45,180.0,top
PROG7,173.62,-77.64,180.0,top
PROG8,109.56,-108.79,0.0,top
PROG9,53.11,-108.98,0.0,top
R1,216.985,-98.235,0.0,top
R10,211.01,-95.435,0.0,top
R100,51.83,-127.805,0.0,top
R101,150.825,-136.275,180.0,top
R102,133.255,-125.35,180.0,top
R103,133.43,-124.0,180.0,top
R104,147.5,-110.8,180.0,top
R105,152.955,-123.0,180.0,top
R106,142.025,-129.6,180.0,top
R107,131.895,-117.15,180.0,top
R108,156.8,-139.075,180.0,top
R109,117.38,-139.225,180.0,top
R11,250.43,-95.285,0.0,top
R110,146.63,-107.275,180.0,top
R111,94.375,-136.465,180.0,top
R112,76.805,-125.54,180.0,top
R113,76.98,-124.19,180.0,top
R114,91.05,-110.99,180.0,top
R115,96.505,-123.19,180.0,top
R116,85.575,-129.79,180.0,top
R117,75.445,-117.34,180.0,top
R118,100.35,-139.265,180.0,top
R119,60.93,-139.415,180.0,top
R12,221.18,-127.235,0.0,top
R120,90.18,-107.465,180.0,top
R121,75.905,-50.345,0.0,top
R122,93.475,-61.27,0.0,top
R123,93.3,-62.62,0.0,top
R124,79.23,-75.82,0.0,top
R125,73.775,-63.62,0.0,top
R126,84.705,-57.02,0.0,top
R127,94.835,-69.47,0.0,top
R128,19.455,-50.535,0.0,top
R129,37.025,-61.46,0.0,top
R13,177.93,-110.7,0.0,top
R130,69.93,-47.545,0.0,top
R131,109.35,-47.395,0.0,top
R132,80.1,-79.345,0.0,top
R133,36.85,-62.81,0.0,top
R134,22.78,-76.01,0.0,top
R135,17.325,-63.81,0.0,top
R136,28.255,-57.21,0.0,top
R137,38.385,-69.66,0.0,top
R138,13.48,-47.735,0.0,top
R139,52.9,-47.585,0.0,top
R14,163.86,-123.9,0.0,top
R140,23.65,-79.535,0.0,top
R141,122.645,-88.005,180.0,top
R142,105.075,-77.08,180.0,top
R143,105.25,-75.73,180.0,top
R144,119.32,-62.53,180.0,top
R145,124.775,-74.73,180.0,top
R146,113.845,-81.33,180.0,top
R147,103.715,-68.88,180.0,top
R148,128.62,-90.805,180.0,top
R149,89.2,-90.955,180.0,top
R15,158.405,-111.7,0.0,top
R150,118.45,-59.005,180.0,top
R151,66.195,-88.195,180.0,top
R152,48.625,-77.27,180.0,top
R153,48.8,-75.92,180.0,top
R154,62.87,-62.72,180.0,top
R155,68.325,-74.92,180.0,top
R156,57.395,-81.52,180.0,top
R157,47.265,-69.07,180.0,top
R158,72.17,-90.995,180.0,top
R159,32.75,-91.145,180.0,top
R16,169.335,-105.1,0.0,top
R160,62.0,-59.195,180.0,top
R161,37.925,-136.655,180.0,top
R162,20.355,-125.73,180.0,top
R163,20.53,-124.38,180.0,top
R164,34.6,-111.18,180.0,top
R165,40.055,-123.38,180.0,top
R166,29.125,-129.98,180.0,top
R167,18.995,-117.53,180.0,top
R168,43.9,-139.455,180.0,top
R169,4.48,-139.605,180.0,top
R17,179.465,-117.55,0.0,top
R170,33.73,-107.655,180.0,top
R18,154.56,-95.625,0.0,top
R19,193.98,-95.475,0.0,top
R2,234.555,-109.16,0.0,top
R20,164.73,-127.425,0.0,top
R21,263.725,-135.895,180.0,top
R22,246.155,-124.97,180.0,top
R23,246.33,-123.62,180.0,top
R24,260.4,-110.42,180.0,top
R25,265.855,-122.62,180.0,top
R26,254.925,-129.22,180.0,top
R27,244.795,-116.77,180.0,top
R28,269.7,-138.695,180.0,top
R29,230.28,-138.845,180.0,top
R3,234.38,-110.51,0.0,top
R30,259.53,-106.895,180.0,top
R31,207.275,-136.085,180.0,top
R32,189.705,-125.16,180.0,top
R33,189.88,-123.81,180.0,top
R34,203.95,-110.61,180.0,top
R35,209.405,-122.81,180.0,top
R36,198.475,-129.41,180.0,top
R37,188.345,-116.96,180.0,top
R38,213.25,-138.885,180.0,top
R39,173.83,-139.035,180.0,top
R4,220.31,-123.71,0.0,top
R40,203.08,-107.085,180.0,top
R41,188.805,-49.965,0.0,top
R42,206.375,-60.89,0.0,top
R43,206.2,-62.24,0.0,top
R44,192.13,-75.44,0.0,top
R45,186.675,-63.24,0.0,top
R46,197.605,-56.64,0.0,top
R47,207.735,-69.09,0.0,top
R48,132.355,-50.155,0.0,top
R49,149.925,-61.08,0.0,top
R5,214.855,-111.51,0.0,top
R50,182.83,-47.165,0.0,top
R51,222.25,-47.015,0.0,top
R52,193.0,-78.965,0.0,top
R53,149.75,-62.43,0.0,top
R54,135.68,-75.63,0.0,top
R55,130.225,-63.43,0.0,top
R56,141.155,-56.83,0.0,top
R57,151.285,-69.28,0.0,top
R58,126.38,-47.355,0.0,top
R59,165.8,-47.205,0.0,top
R6,225.785,-104.91,0.0,top
R60,136.55,-79.155,0.0,top
R61,235.545,-87.625,180.0,top
R62,217.975,-76.7,180.0,top
R63,218.15,-75.35,180.0,top
R64,232.22,-62.15,180.0,top
R65,237.675,-74.35,180.0,top
R66,226.745,-80.95,180.0,top
R67,216.615,-68.5,180.0,top
R68,241.52,-90.425,180.0,top
R69,202.1,-90.575,180.0,top
R7,235.915,-117.36,0.0,top
R70,231.35,-58.625,180.0,top
R71,179.095,-87.815,180.0,top
R72,161.525,-76.89,180.0,top
R73,161.7,-75.54,180.0,top
R74,175.77,-62.34,180.0,top
R75,181.225,-74.54,180.0,top
R76,170.295,-81.14,180.0,top
R77,160.165,-68.69,180.0,top
R78,185.07,-90.615,180.0,top
R79,145.65,-90.765,180.0,top
R8,160.535,-98.425,0.0,top
R80,174.9,-58.815,180.0,top
R81,104.085,-98.615,0.0,top
R82,121.655,-109.54,0.0,top
R83,121.48,-110.89,0.0,top
R84,107.41,-124.09,0.0,top
R85,101.955,-111.89,0.0,top
R86,112.885,-105.29,0.0,top
R87,123.015,-117.74,0.0,top
R88,47.635,-98.805,0.0,top
R89,65.205,-109.73,0.0,top
R9,178.105,-109.35,0.0,top
R90,98.11,-95.815,0.0,top
R91,137.53,-95.665,0.0,top
R92,108.28,-127.615,0.0,top
R93,65.03,-111.08,0.0,top
R94,50.96,-124.28,0.0,top
R95,45.505,-112.08,0.0,top
R96,56.435,-105.48,0.0,top
R97,66.565,-117.93,0.0,top
R98,41.66,-96.005,0.0,top
R99,81.08,-95.855,0.0,top
U1,237.41,-106.96,180.0,top
U10,176.37,-105.705,0.0,top
U100,101.9825,-82.855,90.0,top
U101,106.81,-80.725,180.0,top
U102,113.395,-69.38,180.0,top
U103,113.8325,-88.455,90.0,top
U104,121.97,-73.005,90.0,top
U105,107.5325,-62.88,0.0,top
U106,45.77,-79.47,0.0,top
U107,45.5325,-83.045,90.0,top
U108,50.36,-80.915,180.0,top
U109,56.945,-69.57,180.0,top
U11,169.785,-117.05,0.0,top
U110,57.3825,-88.645,90.0,top
U111,65.52,-73.195,90.0,top
U112,51.0825,-63.07,0.0,top
U113,17.5,-127.93,0.0,top
U114,17.2625,-131.505,90.0,top
U115,22.09,-129.375,180.0,top
U116,28.675,-118.03,180.0,top
U117,29.1125,-137.105,90.0,top
U118,37.25,-121.655,90.0,top
U119,22.8125,-111.53,0.0,top
U12,169.3475,-97.975,270.0,top
U13,161.21,-113.425,270.0,top
U14,175.6475,-123.55,180.0,top
U15,243.3,-127.17,0.0,top
U16,243.0625,-130.745,90.0,top
U17,247.89,-128.615,180.0,top
U18,254.475,-117.27,180.0,top
U19,254.9125,-136.345,90.0,top
U2,237.6475,-103.385,270.0,top
U20,263.05,-120.895,90.0,top
U21,248.6125,-110.77,0.0,top
U22,186.85,-127.36,0.0,top
U23,186.6125,-130.935,90.0,top
U24,191.44,-128.805,180.0,top
U25,198.025,-117.46,180.0,top
U26,198.4625,-136.535,90.0,top
U27,206.6,-121.085,90.0,top
U28,192.1625,-110.96,0.0,top
U29,209.23,-58.69,180.0,top
U3,232.82,-105.515,0.0,top
U30,209.4675,-55.115,270.0,top
U31,204.64,-57.245,0.0,top
U32,152.78,-58.88,180.0,top
U33,198.055,-68.59,0.0,top
U34,197.6175,-49.515,270.0,top
U35,189.48,-64.965,270.0,top
U36,203.9175,-75.09,180.0,top
U37,153.0175,-55.305,270.0,top
U38,148.19,-57.435,0.0,top
U39,141.605,-68.78,0.0,top
U4,180.96,-107.15,180.0,top
U40,141.1675,-49.705,270.0,top
U41,133.03,-65.155,270.0,top
U42,147.4675,-75.28,180.0,top
U43,215.12,-78.9,0.0,top
U44,214.8825,-82.475,90.0,top
U45,219.71,-80.345,180.0,top
U46,226.295,-69.0,180.0,top
U47,226.7325,-88.075,90.0,top
U48,234.87,-72.625,90.0,top
U49,220.4325,-62.5,0.0,top
U5,226.235,-116.86,0.0,top
U50,158.67,-79.09,0.0,top
U51,158.4325,-82.665,90.0,top
U52,163.26,-80.535,180.0,top
U53,169.845,-69.19,180.0,top
U54,170.2825,-88.265,90.0,top
U55,178.42,-72.815,90.0,top
U56,163.9825,-62.69,0.0,top
U57,124.51,-107.34,180.0,top
U58,124.7475,-103.765,270.0,top
U59,119.92,-105.895,0.0,top
U6,225.7975,-97.785,270.0,top
U60,68.06,-107.53,180.0,top
U61,113.335,-117.24,0.0,top
U62,112.8975,-98.165,270.0,top
U63,104.76,-113.615,270.0,top
U64,119.1975,-123.74,180.0,top
U65,68.2975,-103.955,270.0,top
U66,63.47,-106.085,0.0,top
U67,56.885,-117.43,0.0,top
U68,56.4475,-98.355,270.0,top
U69,48.31,-113.805,270.0,top
U7,217.66,-113.235,270.0,top
U70,62.7475,-123.93,180.0,top
U71,130.4,-127.55,0.0,top
U72,130.1625,-131.125,90.0,top
U73,134.99,-128.995,180.0,top
U74,141.575,-117.65,180.0,top
U75,142.0125,-136.725,90.0,top
U76,150.15,-121.275,90.0,top
U77,135.7125,-111.15,0.0,top
U78,73.95,-127.74,0.0,top
U79,73.7125,-131.315,90.0,top
U8,232.0975,-123.36,180.0,top
U80,78.54,-129.185,180.0,top
U81,85.125,-117.84,180.0,top
U82,85.5625,-136.915,90.0,top
U83,93.7,-121.465,90.0,top
U84,79.2625,-111.34,0.0,top
U85,96.33,-59.07,180.0,top
U86,96.5675,-55.495,270.0,top
U87,91.74,-57.625,0.0,top
U88,39.88,-59.26,180.0,top
U89,85.155,-68.97,0.0,top
U9,181.1975,-103.575,270.0,top
